Designator,Mid X,Mid Y,Layer,Rotation
C302,27.3500mm,39.5750mm,Top,270
C301,14.1750mm,21.9500mm,Top,360
R316,25.9750mm,41.8000mm,Top,180
R314,24.5250mm,30.9500mm,Top,90
R312,22.8250mm,41.8000mm,Top,180
R311,23.3500mm,30.9500mm,Top,90
R315,19.5500mm,9.9250mm,Top,90
Q314,18.5000mm,7.6450mm,Top,270
D305,17.0250mm,31.1550mm,Top,90
M300,14.1375mm,21.5175mm,Top,0
R313,16.1750mm,7.6000mm,Top,270
Q313,17.1200mm,10.2500mm,Top,180
F300,19.6000mm,2.6000mm,Top,270
D304,16.1200mm,5.0250mm,Top,180
R309,27.2250mm,30.8250mm,Top,270
R310,25.9500mm,30.8250mm,Top,270
R306,1.8000mm,32.6650mm,Top,90
C300,27.3750mm,36.9000mm,Top,270
U303,24.2501mm,2.8400mm,Top,270
U300,23.8001mm,8.3900mm,Top,270
U304,5.8250mm,38.8900mm,Top,180
U302,24.2000mm,37.3150mm,Top,0
U301,16.3500mm,38.9400mm,Top,180
R302,4.6250mm,11.5150mm,Top,360
Q303,4.3250mm,9.1450mm,Top,90
D300,9.0250mm,9.6150mm,Top,270
R308,27.3000mm,34.2750mm,Top,270
R307,22.7500mm,33.0500mm,Top,180
R305,7.1250mm,20.8400mm,Top,90
R304,21.2750mm,20.7150mm,Top,90
R303,13.6250mm,8.1150mm,Top,180
R301,12.6250mm,1.3650mm,Top,180
R300,12.6500mm,2.7900mm,Top,180
Q310,3.6000mm,16.4400mm,Top,270
Q309,10.6500mm,16.4400mm,Top,270
Q308,3.8000mm,25.0400mm,Top,90
Q307,10.7500mm,25.0400mm,Top,90
Q306,24.6500mm,25.0400mm,Top,90
Q305,24.6500mm,16.4400mm,Top,270
Q311,17.7000mm,16.4400mm,Top,270
Q312,17.7000mm,25.0400mm,Top,90
Q304,13.6500mm,10.3600mm,Top,270
Q302,9.5250mm,2.0450mm,Top,90
Q301,6.0750mm,2.0450mm,Top,90
Q300,2.5250mm,2.0450mm,Top,90
D301,6.9500mm,9.6150mm,Top,270
D302,1.5750mm,9.5150mm,Top,270
D303,11.0250mm,9.6150mm,Top,270
C308,14.8500mm,1.8150mm,Top,270
C307,16.6750mm,1.7900mm,Top,270
C306,13.5000mm,5.4150mm,Top,90
C305,11.7500mm,5.4150mm,Top,90
C304,10.0000mm,5.4150mm,Top,90
C313,8.2500mm,5.4150mm,Top,90
C312,6.5000mm,5.4150mm,Top,90
C311,4.7500mm,5.4150mm,Top,90
C310,3.0000mm,5.4150mm,Top,90
C309,1.2500mm,5.4150mm,Top,90
